id,text,option_a,option_b,option_c,correct_index,explanation
1,Wie habt ihr euch das allererste Mal getroffen?,Auf einer Party an die sich keiner erinnert,Auf einem Gaming-Event,Online per Chat erstes Treffen war extrem peinlich,2,Sie trafen sich online und das erste Treffen war sehr peinlich.
2,Wer hat die verrücktere Kindheitsstory?,Huebi,Zeo,,0,Huebi hat die wildere Backstory.
3,Was war die absurdeste DM die ihr je bekommen habt?,Angebot eines Bienenvolks,500 Wörter über Käse im Schuh,Ich bin euer verlorener Cousin,1,Das Käse-im-Schuh-Manifest war legendär.
4,Wenn der Podcast ein Gericht wäre – was ist Huebi?,Ungesalzener Cracker,Käse im Schuh,Bienen-Gulasch,0,Huebi = der langweilige ungesalzene Cracker im Vergleich zu Zeo.
5,Welches Zitat wurde am häufigsten zum Meme?,Zeo geht es nicht gut,Huebi ist ein ungesalzener Cracker,Die Würde einer Biene,1,Das Cracker-Meme ist absolut geworden.
6,Was sollte mit dem Huebi-Face-Meme passieren?,Verbieten,Als Merch neu auflegen,Community entscheiden lassen,1,Es gab tatsächlich Merch-Überlegungen.
7,Was war die chaotischste Aufnahme?,Technik komplett ausgefallen,Lachflash Folge kaum fortsetzbar,Live-Publikum außer Kontrolle,1,Die Lachflash-Episoden sind legendär.
8,Wer hat die dümmste Challenge erfunden?,Huebi,Zeo,Beide zusammen,2,Sie erfinden Challenges gemeinsam.
9,Gab es eine Story die erst gelogen klang aber wahr war?,Nein,Teilweise,Komplett,1,Viele Stories klingen zu wild um wahr zu sein.
10,Wie viele Fans glauben an eine dumme Verschwörungstheorie?,Unter 1 %,1–10 %,Über 10 %,1,Eine überraschend große Fanbase.
11,Hater-Kommentare werden eher …,Geliked,Geteilt,,0,Hater-Kommentare bekommen paradoxerweise viele Likes.
12,Welcher Traumgast wird öfter genannt?,Promi / YouTuber,Random Fan,,0,Fans wünschen sich immer prominente Gäste.
13,Wie viel Vorbereitung steckt in einer Folge?,0–15 Minuten,15–60 Minuten,Über 1 Stunde,1,Sie bereiten sich gründlich vor.
14,Welches Thema akzeptiert die Community eher als Satire?,Dating,Politik,,0,Dating-Satire funktioniert besser.
15,Wer gewinnt das Blind-Käse-Ranking?,Huebi,Zeo,Unentschieden,1,Zeo hat bessere Käse-Instinkte.
16,Welches Zitat wird am meisten in Reels genutzt?,Zeo geht es nicht gut,Ungesalzener Cracker,Bienen-Zitat,1,Der Cracker-Ausdruck dominiert Instagram.
17,Wie viele Fans lösen ein Insider-Rätsel in 1 Stunde?,Unter 100,100–1.000,Über 1.000,1,Die Community ist motiviert und schnell.
18,Beliebteste Merch-Idee?,Kaffeetasse,Bierglas,Meme-Shirt,2,Meme-Shirts sind das beste Merch.
19,Wie oft kommt die dümmste Fanfrage vor?,Nie,1–5 Mal,Über 5 Mal,2,Dumme Fragen sind konstant.
20,Wie viele Zuhörer bekamen das größte Missverständnis mit?,Unter 1.000,1.000–20.000,Über 20.000,1,Viral-Missverständnis bei 1000-20k Leuten.
21,Würdet ihr eine komplette Folge improvisieren?,Ja spontan live,Nein nur geplant,Als Special-Event,2,Improvisation gibt es nur als Special.
22,Wenn euer Podcast eine Fernsehserie wäre — welches Genre?,Sitcom,Mockumentary,Late-Night/Variety,0,Sitcom passt perfekt zum Humor.
23,Wer nervt offline mehr?,Huebi,Zeo,Beide gleich,0,Huebi ist offline noch wilder.
24,Wer hat die melodramatischste Story laut Wiki?,Huebi,Zeo,Beide gleich,0,Huebi dramatisiert gerne.
25,Falsches Horoskop — welches nimmt die Community am ehesten ernst?,Steinbock: Du erklärst aus Versehen einem Bienenvolk die Million.,Wassermann: Dein wahres Ich ist ein ungesalzener Cracker.,Zwillinge: Vermeide sprechende Küchengeräte.,1,Das Cracker-Horoskop spricht die Fans an.
26,Welches ist euer heimliches Guilty-Pleasure-Song?,Pop-Song X (peinlich),Schlager-Hit Y,TikTok-Meme Song Z,2,Sie mögen Meme-Songs heimlich.
27,Welcher Running-Gag soll neu gestartet werden?,Zeo vs. Bier,Huebi-Face,'Einer von den …' Meme-Template,0,Zeo vs. Bier ist zeitlos.
